date,Rockbound Tax-Efficient 2035,Vanguard 2035,S&P 500
2025-12-31,12125.721652674196,11444.854357801165,11442.141197458403
2026-01-01,12125.721652674196,,
2026-01-02,12267.907652674196,11495.014773065463,11466.475789844619
2026-01-05,12458.341652674195,11570.25499732553,11539.366509193289
2026-01-06,12545.737652674194,11620.414615317077,11611.723507581848
2026-01-07,12472.391652674196,11591.154705276549,11571.850073597698
2026-01-08,12467.251652674195,11591.154705276549,11572.74425809483
2026-01-09,12556.509652674195,11649.675322630355,11648.168500185371
2026-01-12,12637.435652674196,11687.294637487636,11667.526346507506
2026-01-13,12610.289652674193,11666.394929536616,11645.116673457478
2026-01-14,12632.949652674193,11658.034727447108,11583.246888157197
2026-01-15,12591.499652674194,11683.115333715632,11613.429652714307
2026-01-16,12567.875652674193,11674.755131626125,11606.791544156786
2026-01-19,12567.875652674193,,
2026-01-20,12345.299652674194,11528.454784150741,11367.768980313995
2026-01-21,12536.689652674191,11620.414615317073,11499.703039713393
2026-01-22,12623.83965267419,11674.755131626125,11563.001464612542
2026-01-23,12704.449652674193,11691.474738532388,11567.820370227624
2026-01-26,12791.385652674195,11729.094850662423,11625.728727328793
2026-01-27,12980.623652674194,11795.974872832981,11673.210070954792
2026-01-28,13015.609652674197,11783.435366971473,11672.360669096679
2026-01-29,13006.985652674197,11787.615468016229,11657.437772320662
2026-01-30,12739.401652674196,11708.195142711404,11608.055001890418
2026-02-02,12721.709652674195,11741.635153796686,11671.172827950244
2026-02-03,12730.023652674196,11720.735445845667,11573.17299680282
2026-02-04,12647.967652674197,11691.474738532388,11514.535637069752
2026-02-05,12458.487652674197,11607.875109455563,11373.565762571261
2026-02-06,12786.853652674197,11775.075164881962,11598.041310149143
2026-02-09,12926.577652674197,11846.135288097277,11653.536543734655
2026-02-10,12909.965652674198,11850.315389142032,11615.700352755051
2026-02-11,12994.967652674197,11867.034996048296,11615.459554302623
2026-02-12,12758.257652674196,11775.075164881962,11434.510529426234
2026-02-13,12824.787652674197,11800.154973877734,11441.900399005975
2026-02-16,12824.787652674197,,
2026-02-17,12787.689652674197,11800.154973877734,11455.214057343805
2026-02-18,12887.945652674196,11837.775086007769,11519.407400881708
2026-02-19,12879.771652674197,11825.23558014626,11488.479482576988
2026-02-20,13039.721652674196,11887.935501272068,11568.579472666077
2026-02-23,12945.237652674195,11825.235580146264,11448.779306015927
2026-02-24,13042.037652674197,11887.935501272072,11537.081126320083
2026-02-25,13189.599652674198,11950.635422397878,11631.291318408239
2026-02-26,13123.891652674196,11933.91501821886,11568.948011760953
2026-02-27,13092.053652674198,11913.015310267843,11519.83540544807
2026-03-02,13036.8136526742,11854.49549018679,11525.38331369505
2026-03-03,12668.6436526742,11683.115333715632,11416.987303020629
2026-03-04,12784.415652674199,11729.094850662423,11505.709786474912
2026-03-05,12632.1936526742,11645.495221585597,11441.155979399988
2026-03-06,12488.597652674198,11545.175188329757,11290.849291736871
2026-03-09,12639.363652674198,11612.055210500319,11385.706262595118
2026-03-10,12660.931652674199,11612.055210500319,11362.642469358765
2026-03-11,12670.2916526742,11591.154705276547,11353.523696256247
2026-03-12,12384.9496526742,11436.494952984409,11181.106865325391
2026-03-13,12303.2676526742,11377.974335630603,11114.83957170178
2026-03-16,12484.033652674198,11490.834672020705,11228.580867535158
2026-03-17,12561.287652674198,11528.454784150737,11257.004628762938
